comparison,session_id,reference_frame,phase_label,x_a,y_a,x_b,y_b,pixel_distance,pct_image_diagonal,over_10px,over_25px,over_50px
inter_rater,dfd57aa0-581d-4580-bc43-2a329277309b,179,downswing,501.0,889.0,548.0,848.0,62.369864518050704,4.246878763101985,1,1,1
inter_rater,dfd57aa0-581d-4580-bc43-2a329277309b,187,follow_through,471.0,946.0,606.0,1119.0,219.44019686465833,14.942086519455579,1,1,1
inter_rater,dfd57aa0-581d-4580-bc43-2a329277309b,197,follow_through,192.0,398.0,234.0,435.0,55.97320787662612,3.8113186499730047,1,1,1
inter_rater,ed241630-f662-4957-b17f-1f485cf04683,1,backswing,864.0,1608.0,927.0,1658.0,80.43009387039157,3.651088659690857,1,1,1
inter_rater,ed241630-f662-4957-b17f-1f485cf04683,33,backswing,523.0,1149.0,474.0,1151.0,49.040799340956916,2.2261854701360297,1,1,0
inter_rater,ed241630-f662-4957-b17f-1f485cf04683,55,backswing,293.0,656.0,183.0,494.0,195.816240388789,8.888991921592117,1,1,1
inter_rater,ed241630-f662-4957-b17f-1f485cf04683,67,impact_region,701.0,1421.0,636.0,1432.0,65.92419889539804,2.992599951133446,1,1,1
inter_rater,ed241630-f662-4957-b17f-1f485cf04683,68,impact_region,893.0,1589.0,862.0,1471.0,122.00409829181969,5.538322265629637,1,1,1
inter_rater,ed241630-f662-4957-b17f-1f485cf04683,73,follow_through,155.0,635.0,184.0,620.0,32.64965543462902,1.482116717310846,1,1,0
inter_rater,ba749048-28f5-497e-8d85-fcbcfedb6f8c,64,backswing,563.0,1656.0,492.0,1620.0,79.60527620704548,3.6136464254220715,1,1,1
inter_rater,ba749048-28f5-497e-8d85-fcbcfedb6f8c,116,backswing,525.0,648.0,527.0,627.0,21.095023109728988,0.9575992759123344,1,0,0
inter_rater,ba749048-28f5-497e-8d85-fcbcfedb6f8c,143,downswing,53.0,1008.0,205.0,1057.0,159.70284906663375,7.249640440394383,1,1,1
inter_rater,ba749048-28f5-497e-8d85-fcbcfedb6f8c,147,impact_region,672.0,1621.0,762.0,1633.0,90.79647570252934,4.121665993721255,1,1,1
inter_rater,ba749048-28f5-497e-8d85-fcbcfedb6f8c,159,follow_through,1003.0,584.0,1071.0,386.0,209.35137926462295,9.503413584912968,1,1,1
inter_rater,ba749048-28f5-497e-8d85-fcbcfedb6f8c,173,follow_through,528.0,360.0,593.0,369.0,65.62011886609167,2.9787963722338864,1,1,1
inter_rater,3c77a7e3-9d0f-43f4-bbfa-c142c7b24bf1,59,backswing,541.0,1627.0,505.0,1714.0,94.15412895885129,4.274085183323171,1,1,1
inter_rater,3c77a7e3-9d0f-43f4-bbfa-c142c7b24bf1,90,backswing,40.0,1221.0,39.0,1200.0,21.02379604162864,0.9543659545510133,1,0,0
inter_rater,3c77a7e3-9d0f-43f4-bbfa-c142c7b24bf1,127,backswing,664.0,659.0,728.0,581.0,100.89598604503551,4.5801288141100445,1,1,1
inter_rater,3c77a7e3-9d0f-43f4-bbfa-c142c7b24bf1,145,impact_region,203.0,1512.0,174.0,1512.0,29.0,1.3164422175318713,1,1,0
inter_rater,3c77a7e3-9d0f-43f4-bbfa-c142c7b24bf1,148,impact_region,811.0,1576.0,788.0,1683.0,109.4440496326776,4.968164392900355,1,1,1
inter_rater,3c77a7e3-9d0f-43f4-bbfa-c142c7b24bf1,160,follow_through,859.0,539.0,810.0,537.0,49.040799340956916,2.2261854701360297,1,1,0
inter_rater,511a396b-aa38-4056-a980-76723ed0c05f,66,backswing,469.0,1648.0,447.0,1722.0,77.20103626247513,3.504507012866592,1,1,1
inter_rater,511a396b-aa38-4056-a980-76723ed0c05f,86,backswing,101.0,1347.0,89.0,1301.0,47.53945729601885,2.1580327097597505,1,1,0
inter_rater,511a396b-aa38-4056-a980-76723ed0c05f,116,backswing,477.0,664.0,335.0,512.0,208.00961516237658,9.442504794907247,1,1,1
inter_rater,511a396b-aa38-4056-a980-76723ed0c05f,131,downswing,653.0,661.0,688.0,718.0,66.88796603276258,3.036349735529878,1,1,1
inter_rater,511a396b-aa38-4056-a980-76723ed0c05f,150,follow_through,1056.0,1256.0,1079.0,1102.0,155.7080601638849,7.068298758956231,1,1,1
